"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"22/01/2022";"0000";"27,9";"29,6";"27,9";"69,0";"69,0";"61,0";"21,6";"21,8";"21,3";"988,0";"988,0";"984,1";"1,2";"177,0";"5,1";"";"0,0"
"22/01/2022";"0100";"27,9";"28,2";"27,3";"73,0";"74,0";"68,0";"22,6";"22,8";"21,6";"989,8";"989,8";"988,0";"1,6";"177,0";"2,9";"";"0,0"
"22/01/2022";"0200";"28,2";"29,0";"27,7";"68,0";"73,0";"65,0";"21,7";"22,6";"21,7";"992,2";"992,2";"989,8";"1,2";"109,0";"3,4";"";"0,0"
"22/01/2022";"0300";"27,6";"28,5";"27,1";"71,0";"72,0";"65,0";"21,8";"21,9";"21,2";"991,5";"992,8";"991,4";"2,2";"84,0";"5,9";"";"0,0"
"22/01/2022";"0400";"27,8";"28,4";"27,4";"68,0";"72,0";"65,0";"21,3";"21,9";"21,2";"992,9";"992,9";"991,5";"1,5";"97,0";"5,2";"";"0,0"
"22/01/2022";"0500";"26,6";"27,8";"25,7";"76,0";"79,0";"68,0";"22,0";"22,1";"21,2";"991,9";"993,2";"991,8";"1,5";"108,0";"3,7";"";"0,0"
"22/01/2022";"0600";"25,6";"27,2";"25,5";"82,0";"82,0";"72,0";"22,3";"22,3";"21,6";"992,0";"992,4";"991,9";"0,8";"172,0";"3,0";"";"0,0"
"22/01/2022";"0700";"26,1";"26,2";"25,3";"79,0";"83,0";"78,0";"22,3";"22,4";"22,0";"991,7";"992,2";"991,5";"0,8";"61,0";"2,1";"";"0,0"
"22/01/2022";"0800";"26,1";"26,2";"25,1";"80,0";"84,0";"79,0";"22,3";"22,5";"21,9";"992,5";"992,5";"991,7";"1,5";"53,0";"3,0";"";"0,0"
"22/01/2022";"0900";"25,9";"26,6";"25,9";"79,0";"80,0";"76,0";"22,0";"22,4";"21,9";"993,4";"993,6";"992,5";"1,0";"23,0";"3,3";"";"0,0"
"22/01/2022";"1000";"27,3";"27,3";"25,9";"75,0";"79,0";"75,0";"22,4";"22,4";"21,8";"997,0";"997,0";"993,4";"0,5";"5,0";"2,6";"84,10";"0,0"
"22/01/2022";"1100";"30,2";"30,4";"27,3";"59,0";"75,0";"59,0";"21,5";"23,3";"21,5";"1003,7";"1003,7";"997,1";"0,9";"62,0";"2,1";"587,40";"0,0"
"22/01/2022";"1200";"32,9";"33,0";"30,2";"50,0";"63,0";"50,0";"21,1";"23,3";"21,1";"1006,8";"1006,9";"1003,7";"1,9";"342,0";"4,1";"1665,00";"0,0"
"22/01/2022";"1300";"34,2";"34,6";"32,9";"44,0";"52,0";"43,0";"20,4";"22,0";"20,1";"1003,5";"1006,8";"1003,5";"2,6";"309,0";"6,8";"2472,10";"0,0"
"22/01/2022";"1400";"35,8";"36,1";"34,2";"42,0";"47,0";"39,0";"20,8";"21,7";"20,0";"1002,1";"1003,6";"1002,1";"2,5";"329,0";"6,8";"3111,00";"0,0"
"22/01/2022";"1500";"36,7";"37,1";"35,8";"39,0";"45,0";"35,0";"20,4";"22,1";"18,9";"1000,3";"1002,3";"1000,3";"3,1";"329,0";"7,5";"3563,00";"0,0"
"22/01/2022";"1600";"38,1";"38,1";"36,5";"35,0";"40,0";"33,0";"20,1";"20,9";"18,4";"997,7";"1000,4";"997,7";"3,1";"327,0";"9,6";"3831,10";"0,0"
"22/01/2022";"1700";"38,8";"38,9";"37,1";"33,0";"39,0";"31,0";"19,5";"21,1";"18,0";"998,2";"998,4";"997,5";"2,9";"328,0";"8,6";"3706,50";"0,0"
"22/01/2022";"1800";"39,0";"39,6";"37,8";"31,0";"36,0";"30,0";"18,6";"20,9";"17,8";"996,9";"998,2";"996,8";"3,1";"331,0";"9,7";"3570,30";"0,0"
"22/01/2022";"1900";"39,0";"39,8";"38,6";"29,0";"33,0";"28,0";"17,5";"19,8";"17,5";"994,8";"997,2";"994,8";"2,8";"311,0";"7,8";"3133,70";"0,0"
"22/01/2022";"2000";"38,8";"39,8";"38,8";"29,0";"32,0";"27,0";"17,4";"19,4";"17,2";"992,4";"994,8";"992,4";"2,7";"308,0";"8,4";"2553,10";"0,0"
"22/01/2022";"2100";"38,3";"39,2";"38,3";"30,0";"31,0";"28,0";"17,6";"18,1";"16,9";"988,8";"992,4";"988,7";"2,4";"336,0";"7,9";"1587,70";"0,0"
"22/01/2022";"2200";"36,9";"38,5";"36,9";"32,0";"32,0";"29,0";"17,4";"18,0";"17,0";"985,0";"988,9";"985,0";"1,8";"311,0";"5,3";"580,90";"0,0"
"22/01/2022";"2300";"33,0";"36,9";"33,0";"44,0";"44,0";"31,0";"19,2";"19,5";"17,2";"980,0";"985,0";"980,0";"0,3";"285,0";"4,5";"55,60";"0,0"
"23/01/2022";"0000";"31,9";"33,0";"31,9";"45,0";"47,0";"44,0";"18,5";"19,6";"18,5";"981,1";"981,1";"979,4";"0,2";"262,0";"1,2";"";"0,0"
"23/01/2022";"0100";"30,7";"31,9";"30,7";"51,0";"51,0";"45,0";"19,4";"19,5";"18,5";"985,3";"985,3";"981,1";"0,3";"175,0";"1,0";"";"0,0"
"23/01/2022";"0200";"27,9";"30,7";"27,9";"71,0";"71,0";"51,0";"22,1";"22,4";"19,5";"986,9";"986,9";"985,3";"0,4";"110,0";"1,0";"";"0,0"
"23/01/2022";"0300";"27,9";"28,4";"27,8";"69,0";"71,0";"66,0";"21,8";"22,3";"21,3";"989,2";"989,2";"986,9";"0,6";"146,0";"1,3";"";"0,0"
"23/01/2022";"0400";"28,3";"28,3";"27,3";"65,0";"75,0";"65,0";"21,1";"22,6";"21,1";"990,7";"990,7";"989,2";"0,8";"104,0";"2,1";"";"0,0"
"23/01/2022";"0500";"27,3";"28,5";"27,0";"69,0";"73,0";"64,0";"21,2";"21,9";"21,0";"991,3";"991,3";"990,7";"0,6";"166,0";"2,3";"";"0,0"
"23/01/2022";"0600";"27,2";"28,1";"27,1";"71,0";"71,0";"68,0";"21,6";"21,7";"21,3";"992,0";"992,0";"991,3";"0,9";"94,0";"3,4";"";"0,0"
"23/01/2022";"0700";"27,1";"27,5";"26,7";"73,0";"73,0";"71,0";"21,8";"21,8";"21,3";"991,9";"992,3";"991,9";"1,1";"61,0";"3,3";"";"0,0"
"23/01/2022";"0800";"27,5";"27,5";"25,6";"68,0";"80,0";"68,0";"21,0";"22,1";"21,0";"991,2";"992,1";"990,7";"1,6";"26,0";"3,4";"";"0,0"
"23/01/2022";"0900";"25,9";"28,3";"25,9";"74,0";"74,0";"62,0";"20,9";"21,0";"20,2";"992,9";"993,5";"991,3";"0,2";"235,0";"4,6";"";"0,0"
"23/01/2022";"1000";"27,2";"27,2";"25,7";"73,0";"76,0";"73,0";"22,0";"22,1";"20,8";"995,6";"995,6";"992,2";"0,2";"71,0";"1,5";"102,10";"0,0"
"23/01/2022";"1100";"30,0";"30,3";"27,2";"58,0";"74,0";"57,0";"20,8";"22,3";"20,7";"1002,7";"1002,7";"995,6";"1,2";"4,0";"3,0";"563,60";"0,0"
"23/01/2022";"1200";"33,2";"33,3";"30,0";"51,0";"60,0";"51,0";"21,5";"22,5";"20,9";"1007,1";"1007,1";"1002,7";"1,3";"347,0";"3,0";"1577,10";"0,0"
"23/01/2022";"1300";"35,6";"35,8";"32,8";"41,0";"53,0";"39,0";"20,1";"22,2";"19,0";"1004,7";"1007,4";"1004,7";"2,3";"333,0";"5,3";"2169,30";"0,0"
"23/01/2022";"1400";"37,1";"37,7";"35,3";"32,0";"41,0";"31,0";"17,8";"20,2";"17,3";"1003,2";"1005,2";"1003,2";"3,4";"283,0";"8,7";"3150,60";"0,0"
"23/01/2022";"1500";"38,2";"38,2";"36,9";"31,0";"34,0";"31,0";"18,0";"19,3";"17,7";"1000,2";"1003,2";"1000,2";"3,2";"287,0";"8,8";"3494,40";"0,0"
"23/01/2022";"1600";"38,5";"39,0";"37,7";"29,0";"33,0";"29,0";"17,5";"19,4";"17,5";"999,4";"1000,4";"999,4";"2,8";"272,0";"8,8";"3644,10";"0,0"
"23/01/2022";"1700";"39,1";"39,9";"38,3";"29,0";"32,0";"28,0";"18,1";"19,2";"17,2";"998,6";"999,6";"998,6";"2,9";"289,0";"7,4";"3616,60";"0,0"
"23/01/2022";"1800";"39,6";"39,8";"38,8";"27,0";"31,0";"27,0";"17,4";"18,6";"17,1";"996,2";"998,7";"996,1";"2,5";"283,0";"7,7";"3161,90";"0,0"
"23/01/2022";"1900";"39,8";"40,5";"38,9";"27,0";"30,0";"26,0";"17,6";"18,9";"17,1";"995,1";"996,6";"995,1";"2,2";"269,0";"7,5";"2886,20";"0,0"
"23/01/2022";"2000";"39,0";"39,9";"38,8";"28,0";"29,0";"26,0";"17,3";"18,0";"16,9";"992,3";"995,3";"992,3";"2,8";"280,0";"7,6";"2137,00";"0,0"
"23/01/2022";"2100";"38,7";"39,6";"38,7";"30,0";"30,0";"27,0";"18,2";"18,3";"17,1";"990,9";"992,6";"990,9";"1,4";"285,0";"7,6";"1443,60";"0,0"
"23/01/2022";"2200";"36,6";"38,7";"36,5";"32,0";"33,0";"29,0";"17,4";"18,3";"17,0";"986,1";"991,1";"986,1";"1,1";"198,0";"4,7";"520,80";"0,0"
"23/01/2022";"2300";"32,7";"36,6";"32,7";"47,0";"47,0";"32,0";"19,8";"20,0";"17,1";"981,4";"986,1";"981,3";"0,5";"127,0";"3,1";"23,40";"0,0"
"24/01/2022";"0000";"32,0";"32,9";"32,0";"53,0";"53,0";"46,0";"21,2";"21,4";"19,7";"984,9";"984,9";"981,4";"0,5";"132,0";"1,8";"";"0,0"
"24/01/2022";"0100";"29,9";"32,9";"29,9";"59,0";"59,0";"49,0";"21,1";"21,2";"20,2";"987,3";"987,4";"984,9";"3,2";"100,0";"9,1";"";"0,0"
"24/01/2022";"0200";"29,2";"29,9";"29,2";"61,0";"61,0";"59,0";"21,0";"21,1";"20,9";"989,7";"989,7";"987,3";"3,1";"90,0";"8,4";"";"0,0"
"24/01/2022";"0300";"28,4";"29,3";"28,4";"66,0";"66,0";"61,0";"21,5";"21,5";"21,0";"991,7";"991,7";"989,7";"1,5";"69,0";"8,2";"";"0,0"
"24/01/2022";"0400";"28,0";"28,4";"27,9";"69,0";"69,0";"66,0";"21,8";"21,8";"21,5";"992,3";"992,3";"991,7";"1,0";"27,0";"4,5";"";"0,0"
"24/01/2022";"0500";"28,3";"28,4";"27,9";"65,0";"69,0";"65,0";"21,1";"21,7";"21,0";"993,2";"993,2";"992,3";"0,7";"12,0";"2,9";"";"0,0"
"24/01/2022";"0600";"28,1";"28,3";"27,9";"63,0";"66,0";"63,0";"20,5";"21,1";"20,5";"993,5";"993,5";"993,2";"0,5";"10,0";"2,1";"";"0,0"
"24/01/2022";"0700";"27,5";"28,2";"27,5";"65,0";"65,0";"62,0";"20,3";"20,5";"20,2";"993,5";"993,9";"993,5";"1,1";"58,0";"2,8";"";"0,0"
"24/01/2022";"0800";"26,3";"27,6";"25,8";"73,0";"75,0";"65,0";"21,1";"21,1";"20,3";"992,1";"993,8";"992,0";"1,3";"143,0";"2,1";"";"0,0"
"24/01/2022";"0900";"26,1";"26,4";"25,8";"74,0";"75,0";"72,0";"21,2";"21,2";"20,8";"992,8";"992,8";"992,1";"0,9";"118,0";"2,2";"";"0,0"
"24/01/2022";"1000";"26,2";"26,4";"25,9";"78,0";"78,0";"74,0";"22,1";"22,1";"21,1";"996,4";"996,4";"992,8";"1,6";"125,0";"3,0";"107,30";"0,0"
"24/01/2022";"1100";"27,3";"27,3";"26,2";"75,0";"78,0";"74,0";"22,5";"22,5";"22,1";"999,4";"999,4";"996,4";"1,3";"103,0";"3,6";"430,90";"0,0"
"24/01/2022";"1200";"29,6";"29,7";"27,2";"65,0";"75,0";"63,0";"22,2";"23,1";"21,9";"1003,1";"1003,1";"999,4";"1,2";"99,0";"3,2";"943,20";"0,0"
"24/01/2022";"1300";"32,5";"32,6";"29,6";"53,0";"65,0";"53,0";"21,6";"23,0";"21,6";"1007,2";"1007,2";"1003,2";"1,5";"63,0";"4,0";"2161,50";"0,0"
"24/01/2022";"1400";"34,6";"34,9";"32,3";"44,0";"55,0";"43,0";"20,6";"22,9";"20,0";"1008,4";"1008,5";"1007,2";"1,1";"358,0";"3,6";"2985,00";"0,0"
"24/01/2022";"1500";"35,5";"35,8";"34,0";"46,0";"50,0";"42,0";"22,0";"23,0";"20,1";"1004,5";"1008,7";"1004,5";"1,4";"85,0";"3,4";"3383,30";"0,0"
"24/01/2022";"1600";"35,0";"36,4";"34,7";"48,0";"48,0";"43,0";"22,4";"22,5";"21,2";"997,5";"1004,5";"997,5";"2,3";"168,0";"4,7";"2930,70";"0,0"
"24/01/2022";"1700";"34,1";"35,4";"33,9";"50,0";"51,0";"46,0";"22,2";"22,8";"21,4";"992,0";"997,5";"992,0";"2,6";"180,0";"5,5";"1475,60";"0,0"
"24/01/2022";"1800";"34,3";"35,6";"33,7";"48,0";"52,0";"45,0";"21,8";"23,4";"21,5";"996,1";"996,2";"991,9";"4,1";"165,0";"9,3";"2971,70";"0,0"
"24/01/2022";"1900";"34,7";"35,2";"33,9";"47,0";"51,0";"45,0";"21,9";"22,4";"20,6";"994,1";"996,4";"994,1";"3,1";"170,0";"8,1";"3018,40";"0,0"
"24/01/2022";"2000";"34,8";"35,4";"34,1";"45,0";"49,0";"44,0";"21,0";"22,4";"20,9";"992,8";"994,7";"992,2";"2,7";"163,0";"7,8";"1795,30";"0,0"
"24/01/2022";"2100";"35,1";"35,1";"34,5";"48,0";"50,0";"45,0";"22,6";"22,9";"20,9";"991,7";"992,9";"991,1";"1,7";"153,0";"5,8";"895,90";"0,0"
"24/01/2022";"2200";"32,0";"35,1";"32,0";"52,0";"55,0";"48,0";"21,0";"23,1";"21,0";"988,7";"992,5";"988,7";"2,1";"90,0";"8,6";"527,70";"0,0"
"24/01/2022";"2300";"29,1";"32,0";"29,0";"63,0";"64,0";"52,0";"21,3";"21,6";"20,9";"984,1";"988,7";"984,1";"0,8";"193,0";"6,1";"175,80";"0,0"
"25/01/2022";"0000";"27,5";"29,4";"27,5";"63,0";"65,0";"61,0";"20,0";"21,7";"19,9";"984,8";"984,8";"983,9";"1,8";"141,0";"5,4";"";"0,0"
"25/01/2022";"0100";"26,9";"27,5";"26,7";"68,0";"69,0";"64,0";"20,4";"20,6";"19,9";"988,0";"988,0";"984,8";"3,3";"111,0";"6,9";"";"0,0"
"25/01/2022";"0200";"26,1";"26,9";"26,1";"73,0";"73,0";"67,0";"20,8";"20,8";"20,3";"991,3";"991,3";"988,0";"2,6";"116,0";"7,6";"";"0,0"
"25/01/2022";"0300";"26,7";"26,8";"26,1";"72,0";"73,0";"71,0";"21,1";"21,1";"20,8";"994,3";"994,3";"991,3";"3,3";"89,0";"7,8";"";"0,0"
"25/01/2022";"0400";"26,9";"27,1";"26,6";"71,0";"72,0";"70,0";"21,1";"21,2";"21,0";"995,6";"995,6";"994,3";"2,9";"90,0";"9,4";"";"0,0"
