"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2022";"0000";"2,9";"3,2";"2,8";"100,0";"100,0";"100,0";"2,9";"3,2";"2,8";"902,4";"902,5";"902,0";"2,5";"90,0";"4,8";"";"0,0"
"01/06/2022";"0100";"2,8";"2,9";"2,7";"100,0";"100,0";"100,0";"2,7";"2,9";"2,7";"902,7";"902,7";"902,4";"1,9";"71,0";"4,9";"";"0,0"
"01/06/2022";"0200";"2,7";"2,8";"2,6";"100,0";"100,0";"100,0";"2,7";"2,8";"2,6";"902,7";"902,8";"902,5";"2,5";"62,0";"5,7";"";"0,0"
"01/06/2022";"0300";"1,9";"2,7";"1,8";"100,0";"100,0";"100,0";"1,8";"2,7";"1,8";"902,7";"902,8";"902,4";"1,2";"74,0";"4,4";"";"0,0"
"01/06/2022";"0400";"3,3";"3,3";"1,9";"100,0";"100,0";"100,0";"3,3";"3,3";"1,9";"902,5";"902,9";"902,5";"1,9";"47,0";"5,4";"";"0,0"
"01/06/2022";"0500";"4,2";"4,2";"3,3";"100,0";"100,0";"100,0";"4,2";"4,2";"3,4";"902,1";"902,7";"902,0";"2,2";"48,0";"5,0";"0,70";"0,0"
"01/06/2022";"0600";"4,5";"4,6";"4,2";"100,0";"100,0";"100,0";"4,4";"4,6";"4,2";"901,9";"902,3";"901,9";"1,9";"67,0";"3,5";"1,00";"0,0"
"01/06/2022";"0700";"4,7";"4,7";"4,4";"100,0";"100,0";"100,0";"4,7";"4,7";"4,4";"901,5";"901,9";"901,5";"2,7";"42,0";"5,1";"0,90";"0,0"
"01/06/2022";"0800";"5,1";"5,1";"4,6";"100,0";"100,0";"100,0";"5,1";"5,1";"4,6";"901,3";"901,6";"901,3";"0,6";"115,0";"5,1";"0,10";"0,0"
"01/06/2022";"0900";"5,7";"5,7";"5,1";"100,0";"100,0";"100,0";"5,7";"5,7";"5,1";"901,4";"901,5";"901,2";"1,7";"64,0";"3,2";"0,70";"0,0"
"01/06/2022";"1000";"6,3";"6,3";"5,7";"100,0";"100,0";"100,0";"6,3";"6,3";"5,7";"901,6";"901,6";"901,3";"1,6";"55,0";"4,1";"1,30";"0,0"
"01/06/2022";"1100";"6,6";"6,6";"6,2";"100,0";"100,0";"100,0";"6,6";"6,6";"6,2";"902,3";"902,3";"901,6";"1,0";"26,0";"4,0";"43,00";"0,0"
"01/06/2022";"1200";"7,4";"7,4";"6,6";"100,0";"100,0";"100,0";"7,4";"7,4";"6,6";"902,3";"902,4";"901,9";"1,1";"61,0";"3,8";"170,50";"0,0"
"01/06/2022";"1300";"8,0";"8,0";"7,4";"96,0";"100,0";"95,0";"7,3";"7,5";"7,1";"902,2";"902,6";"902,2";"1,5";"59,0";"3,4";"288,80";"0,0"
"01/06/2022";"1400";"8,3";"8,5";"8,0";"100,0";"100,0";"93,0";"8,3";"8,3";"7,1";"901,7";"902,3";"901,7";"2,1";"64,0";"3,4";"387,70";"0,0"
"01/06/2022";"1500";"8,2";"9,1";"8,1";"100,0";"100,0";"100,0";"8,2";"9,1";"8,1";"900,8";"901,8";"900,8";"2,7";"60,0";"4,9";"689,40";"0,0"
"01/06/2022";"1600";"8,8";"9,1";"8,2";"100,0";"100,0";"100,0";"8,8";"9,1";"8,2";"900,8";"901,1";"900,7";"1,9";"61,0";"5,3";"618,10";"0,4"
"01/06/2022";"1700";"9,1";"9,1";"8,7";"100,0";"100,0";"100,0";"9,1";"9,1";"8,7";"900,1";"900,9";"900,1";"0,8";"92,0";"3,1";"227,60";"0,0"
"01/06/2022";"1800";"9,2";"9,2";"8,9";"100,0";"100,0";"100,0";"9,2";"9,2";"8,9";"899,9";"900,2";"899,8";"1,4";"141,0";"2,3";"235,70";"0,4"
"01/06/2022";"1900";"9,3";"9,4";"9,0";"100,0";"100,0";"100,0";"9,3";"9,4";"9,0";"899,8";"900,0";"899,6";"1,5";"143,0";"3,0";"162,00";"0,6"
"01/06/2022";"2000";"9,1";"9,5";"9,1";"100,0";"100,0";"100,0";"9,1";"9,5";"9,1";"900,0";"900,3";"899,8";"1,3";"154,0";"2,6";"97,50";"0,4"
"01/06/2022";"2100";"8,6";"9,2";"8,6";"100,0";"100,0";"100,0";"8,6";"9,2";"8,6";"900,0";"900,1";"899,6";"2,0";"139,0";"3,8";"10,80";"0,0"
"01/06/2022";"2200";"8,3";"8,6";"8,3";"100,0";"100,0";"100,0";"8,3";"8,6";"8,3";"900,7";"900,7";"900,0";"1,5";"49,0";"4,0";"";"0,6"
"01/06/2022";"2300";"7,3";"8,3";"7,3";"100,0";"100,0";"100,0";"7,3";"8,3";"7,3";"901,2";"901,2";"900,5";"2,1";"120,0";"3,2";"";"0,4"
"02/06/2022";"0000";"6,8";"7,3";"6,8";"100,0";"100,0";"100,0";"6,8";"7,3";"6,8";"901,8";"901,8";"901,2";"2,3";"138,0";"4,5";"";"0,4"
"02/06/2022";"0100";"6,5";"6,8";"6,4";"100,0";"100,0";"100,0";"6,4";"6,7";"6,4";"901,2";"901,8";"901,1";"2,5";"131,0";"5,1";"";"0,0"
"02/06/2022";"0200";"6,6";"6,6";"6,4";"100,0";"100,0";"100,0";"6,6";"6,6";"6,5";"901,6";"901,7";"901,2";"2,4";"127,0";"4,5";"";"0,0"
"02/06/2022";"0300";"6,7";"6,7";"6,6";"100,0";"100,0";"100,0";"6,7";"6,7";"6,6";"901,5";"901,9";"901,5";"1,9";"145,0";"3,9";"";"0,2"
"02/06/2022";"0400";"6,8";"6,9";"6,7";"100,0";"100,0";"100,0";"6,8";"6,8";"6,7";"900,9";"901,5";"900,8";"2,4";"134,0";"4,5";"";"0,0"
"02/06/2022";"0500";"6,9";"7,0";"6,8";"100,0";"100,0";"100,0";"6,9";"7,0";"6,8";"900,9";"901,1";"900,6";"1,7";"163,0";"4,4";"";"0,0"
"02/06/2022";"0600";"6,3";"6,9";"6,2";"100,0";"100,0";"100,0";"6,3";"6,8";"6,2";"900,7";"901,1";"900,4";"2,4";"177,0";"4,1";"";"0,2"
"02/06/2022";"0700";"6,2";"6,3";"6,1";"100,0";"100,0";"100,0";"6,2";"6,3";"6,1";"899,8";"901,0";"899,7";"3,1";"165,0";"5,0";"";"0,0"
"02/06/2022";"0800";"6,6";"6,7";"6,1";"100,0";"100,0";"100,0";"6,6";"6,7";"6,1";"900,3";"900,6";"899,3";"1,5";"176,0";"4,7";"";"0,0"
"02/06/2022";"0900";"6,6";"6,6";"6,4";"100,0";"100,0";"100,0";"6,6";"6,6";"6,4";"900,7";"900,9";"900,1";"0,7";"146,0";"3,5";"";"0,2"
"02/06/2022";"1000";"6,3";"6,8";"6,3";"100,0";"100,0";"100,0";"6,3";"6,8";"6,3";"901,7";"901,7";"900,7";"3,1";"194,0";"5,9";"";"0,0"
"02/06/2022";"1100";"5,8";"6,3";"5,8";"100,0";"100,0";"100,0";"5,8";"6,3";"5,8";"902,0";"902,0";"901,4";"3,8";"186,0";"5,9";"20,90";"0,0"
"02/06/2022";"1200";"6,2";"6,2";"5,7";"100,0";"100,0";"100,0";"6,2";"6,2";"5,7";"902,5";"902,5";"901,8";"1,5";"163,0";"5,9";"165,50";"0,0"
"02/06/2022";"1300";"7,4";"7,4";"6,2";"100,0";"100,0";"100,0";"7,4";"7,4";"6,2";"902,4";"902,6";"902,3";"3,0";"136,0";"5,1";"405,30";"0,0"
"02/06/2022";"1400";"7,7";"7,8";"7,1";"100,0";"100,0";"100,0";"7,7";"7,8";"7,1";"902,4";"902,4";"902,1";"3,9";"130,0";"7,2";"634,80";"0,0"
