"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2022";"0000";"8,2";"8,8";"8,0";"74,0";"75,0";"71,0";"3,7";"4,2";"3,7";"959,7";"959,7";"959,3";"1,8";"170,0";"3,5";"";"0,0"
"01/06/2022";"0100";"8,2";"8,8";"8,1";"76,0";"76,0";"70,0";"4,2";"4,2";"3,6";"960,0";"960,1";"959,7";"0,0";"168,0";"4,7";"";"0,0"
"01/06/2022";"0200";"7,7";"8,4";"7,6";"80,0";"80,0";"75,0";"4,5";"4,5";"4,1";"959,9";"960,2";"959,9";"0,1";"166,0";"2,8";"";"0,0"
"01/06/2022";"0300";"7,7";"8,1";"7,5";"81,0";"82,0";"78,0";"4,6";"4,7";"4,4";"959,3";"959,9";"959,2";"0,0";"161,0";"3,8";"";"0,0"
"01/06/2022";"0400";"7,2";"7,7";"7,0";"85,0";"85,0";"81,0";"4,8";"4,9";"4,5";"958,9";"959,3";"958,9";"0,0";"156,0";"0,0";"";"0,0"
"01/06/2022";"0500";"6,2";"7,3";"6,2";"90,0";"90,0";"85,0";"4,7";"4,9";"4,6";"959,1";"959,2";"958,9";"0,0";"177,0";"0,2";"";"0,0"
"01/06/2022";"0600";"6,0";"6,4";"6,0";"91,0";"91,0";"90,0";"4,6";"5,0";"4,6";"958,7";"959,1";"958,7";"0,0";"168,0";"3,0";"";"0,0"
"01/06/2022";"0700";"6,0";"6,2";"5,8";"92,0";"92,0";"90,0";"4,7";"4,9";"4,4";"958,5";"958,7";"958,5";"0,0";"165,0";"0,0";"";"0,0"
"01/06/2022";"0800";"5,5";"6,2";"5,5";"92,0";"92,0";"90,0";"4,3";"4,9";"4,3";"958,6";"958,6";"958,4";"0,0";"169,0";"0,0";"";"0,0"
"01/06/2022";"0900";"5,6";"5,9";"5,4";"92,0";"92,0";"91,0";"4,5";"4,8";"4,2";"958,4";"958,7";"958,3";"0,0";"143,0";"0,0";"";"0,0"
"01/06/2022";"1000";"5,4";"5,9";"5,4";"92,0";"93,0";"91,0";"4,2";"4,7";"4,2";"958,8";"958,9";"958,4";"0,0";"173,0";"0,0";"";"0,0"
"01/06/2022";"1100";"6,3";"6,3";"5,2";"91,0";"93,0";"90,0";"4,9";"4,9";"4,0";"958,3";"958,8";"958,3";"0,0";"153,0";"2,0";"";"0,0"
"01/06/2022";"1200";"7,3";"7,5";"6,3";"90,0";"91,0";"88,0";"5,7";"5,7";"4,9";"958,3";"958,7";"958,1";"0,0";"131,0";"4,4";"";"0,0"
"01/06/2022";"1300";"8,1";"8,1";"7,2";"90,0";"92,0";"89,0";"6,6";"6,6";"5,6";"959,2";"960,0";"958,3";"0,0";"348,0";"4,5";"";"0,0"
"01/06/2022";"1400";"9,3";"9,5";"8,1";"90,0";"92,0";"88,0";"7,8";"7,8";"6,6";"960,2";"960,5";"959,0";"0,6";"326,0";"2,3";"";"0,0"
