"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2022";"0000";"6,8";"7,4";"6,8";"70,0";"71,0";"69,0";"1,6";"2,0";"1,6";"1011,9";"1011,9";"1011,3";"2,1";"147,0";"6,0";"";"0,0"
"01/06/2022";"0100";"5,4";"6,8";"4,1";"80,0";"84,0";"70,0";"2,3";"2,6";"0,9";"1012,0";"1012,1";"1011,9";"2,4";"132,0";"4,0";"";"0,0"
"01/06/2022";"0200";"5,7";"6,2";"5,3";"78,0";"80,0";"75,0";"2,2";"2,6";"1,8";"1012,2";"1012,2";"1011,9";"2,2";"137,0";"4,2";"";"0,0"
"01/06/2022";"0300";"4,6";"5,8";"4,6";"83,0";"83,0";"77,0";"1,8";"2,3";"1,8";"1012,3";"1012,5";"1012,1";"2,4";"138,0";"4,2";"";"0,0"
"01/06/2022";"0400";"4,7";"4,9";"4,4";"83,0";"84,0";"83,0";"2,1";"2,3";"1,8";"1012,3";"1012,5";"1012,2";"2,1";"138,0";"3,7";"";"0,0"
"01/06/2022";"0500";"3,8";"4,8";"3,5";"89,0";"89,0";"83,0";"2,1";"2,2";"1,6";"1012,2";"1012,3";"1012,1";"1,8";"140,0";"3,4";"";"0,0"
"01/06/2022";"0600";"3,9";"4,0";"3,6";"89,0";"89,0";"88,0";"2,3";"2,3";"1,9";"1011,9";"1012,2";"1011,9";"2,5";"139,0";"3,9";"";"0,0"
"01/06/2022";"0700";"3,9";"3,9";"3,5";"90,0";"91,0";"89,0";"2,3";"2,4";"2,0";"1011,5";"1011,9";"1011,5";"2,8";"149,0";"4,4";"";"0,0"
"01/06/2022";"0800";"3,5";"3,9";"3,2";"90,0";"91,0";"89,0";"1,9";"2,4";"1,8";"1010,9";"1011,5";"1010,9";"2,4";"126,0";"4,4";"";"0,0"
"01/06/2022";"0900";"3,8";"4,0";"3,4";"87,0";"90,0";"87,0";"1,7";"2,2";"1,7";"1010,8";"1010,9";"1010,6";"2,6";"126,0";"5,2";"";"0,0"
"01/06/2022";"1000";"3,7";"4,4";"3,7";"85,0";"87,0";"83,0";"1,4";"2,0";"1,4";"1010,6";"1010,8";"1010,6";"3,8";"136,0";"5,9";"";"0,0"
"01/06/2022";"1100";"3,7";"3,9";"3,4";"86,0";"86,0";"85,0";"1,6";"1,7";"1,2";"1011,9";"1011,9";"1010,6";"2,4";"154,0";"5,9";"32,90";"0,0"
