"Data";"Hora (UTC)";"Temp. Ins. (C)";"Temp. Max. (C)";"Temp. Min. (C)";"Umi. Ins. (%)";"Umi. Max. (%)";"Umi. Min. (%)";"Pto Orvalho Ins. (C)";"Pto Orvalho Max. (C)";"Pto Orvalho Min. (C)";"Pressao Ins. (hPa)";"Pressao Max. (hPa)";"Pressao Min. (hPa)";"Vel. Vento (m/s)";"Dir. Vento (m/s)";"Raj. Vento (m/s)";"Radiacao (KJ/m²)";"Chuva (mm)"
"01/06/2022";"0000";"5,6";"5,8";"5,0";"65,0";"72,0";"62,0";"-0,6";"0,4";"-0,9";"906,6";"906,6";"906,3";"2,4";"103,0";"3,2";"";"0,0"
"01/06/2022";"0100";"4,9";"5,6";"4,5";"73,0";"73,0";"65,0";"0,4";"0,4";"-0,6";"906,7";"906,7";"906,3";"2,5";"70,0";"3,7";"";"0,0"
"01/06/2022";"0200";"6,0";"6,0";"3,9";"81,0";"84,0";"73,0";"2,9";"2,9";"0,2";"906,8";"906,9";"906,7";"2,1";"79,0";"4,0";"";"0,0"
"01/06/2022";"0300";"6,2";"6,7";"5,8";"87,0";"87,0";"81,0";"4,1";"4,1";"3,0";"906,6";"906,8";"906,6";"1,3";"91,0";"3,0";"1,40";"0,0"
"01/06/2022";"0400";"5,6";"6,6";"5,3";"90,0";"90,0";"87,0";"4,1";"4,7";"3,5";"906,3";"906,6";"906,3";"2,0";"99,0";"2,8";"0,90";"0,0"
"01/06/2022";"0500";"7,8";"7,9";"5,6";"94,0";"94,0";"90,0";"6,9";"7,0";"4,3";"905,8";"906,4";"905,8";"2,9";"42,0";"4,4";"";"0,0"
"01/06/2022";"0600";"8,0";"8,0";"7,6";"96,0";"96,0";"94,0";"7,4";"7,4";"6,8";"905,7";"905,9";"905,7";"2,5";"40,0";"4,6";"";"0,0"
"01/06/2022";"0700";"8,5";"8,5";"7,8";"97,0";"97,0";"96,0";"8,1";"8,1";"7,3";"905,6";"905,7";"905,6";"3,3";"17,0";"5,1";"";"0,0"
"01/06/2022";"0800";"8,5";"8,7";"8,5";"96,0";"97,0";"96,0";"8,0";"8,3";"7,9";"905,5";"905,6";"905,3";"3,7";"14,0";"6,4";"";"0,0"
"01/06/2022";"0900";"8,5";"8,5";"8,3";"97,0";"97,0";"96,0";"8,0";"8,0";"7,9";"905,6";"905,7";"905,4";"3,7";"10,0";"6,0";"";"0,0"
"01/06/2022";"1000";"8,9";"8,9";"8,5";"96,0";"97,0";"96,0";"8,2";"8,2";"8,0";"906,1";"906,1";"905,6";"4,1";"6,0";"7,4";"27,30";"0,0"
"01/06/2022";"1100";"9,4";"9,4";"8,9";"94,0";"96,0";"94,0";"8,4";"8,5";"8,2";"906,5";"906,5";"906,1";"5,3";"11,0";"7,6";"234,50";"0,0"
"01/06/2022";"1200";"10,2";"10,2";"9,4";"93,0";"94,0";"92,0";"9,1";"9,1";"8,4";"906,5";"906,6";"906,3";"4,9";"9,0";"8,6";"403,60";"0,0"
"01/06/2022";"1300";"11,5";"11,5";"10,2";"89,0";"93,0";"87,0";"9,7";"9,7";"8,9";"905,9";"906,5";"905,8";"4,8";"18,0";"9,8";"977,00";"0,0"
"01/06/2022";"1400";"11,2";"11,7";"11,2";"88,0";"89,0";"87,0";"9,3";"9,8";"9,2";"905,6";"906,1";"905,6";"4,9";"15,0";"8,1";"504,50";"0,0"
"01/06/2022";"1500";"11,6";"12,0";"11,2";"87,0";"89,0";"85,0";"9,6";"9,9";"9,3";"905,6";"905,7";"905,1";"5,3";"8,0";"8,1";"524,50";"0,0"
"01/06/2022";"1600";"10,6";"11,6";"10,6";"92,0";"92,0";"87,0";"9,4";"9,5";"9,2";"904,7";"905,6";"904,7";"4,2";"10,0";"8,1";"186,20";"0,0"
"01/06/2022";"1700";"10,9";"11,3";"10,6";"91,0";"94,0";"90,0";"9,5";"10,3";"9,4";"903,9";"904,7";"903,7";"4,3";"17,0";"7,8";"379,60";"0,0"
"01/06/2022";"1800";"10,4";"10,9";"10,4";"96,0";"96,0";"91,0";"9,8";"9,9";"9,4";"904,5";"904,5";"903,4";"2,3";"337,0";"6,6";"144,80";"1,0"
"01/06/2022";"1900";"10,1";"10,4";"10,1";"98,0";"98,0";"96,0";"9,8";"9,9";"9,7";"904,2";"904,9";"903,6";"0,8";"314,0";"3,9";"79,40";"1,8"
"01/06/2022";"2000";"10,2";"10,3";"10,1";"98,0";"98,0";"98,0";"9,9";"9,9";"9,8";"904,3";"904,3";"903,5";"0,2";"166,0";"2,1";"27,70";"0,0"
"01/06/2022";"2100";"10,1";"10,2";"10,1";"99,0";"99,0";"98,0";"10,0";"10,0";"9,9";"904,9";"904,9";"904,1";"1,5";"326,0";"2,9";"";"0,6"
"01/06/2022";"2200";"10,1";"10,1";"10,1";"100,0";"100,0";"99,0";"10,1";"10,1";"10,0";"905,3";"905,4";"904,8";"0,8";"341,0";"2,9";"";"0,2"
"01/06/2022";"2300";"10,1";"10,1";"10,1";"100,0";"100,0";"100,0";"10,1";"10,1";"10,1";"905,4";"905,7";"905,2";"0,9";"122,0";"1,5";"";"0,0"
"02/06/2022";"0000";"7,8";"10,2";"7,8";"100,0";"100,0";"100,0";"7,8";"10,2";"7,8";"905,6";"905,6";"905,4";"1,5";"181,0";"3,8";"";"0,2"
"02/06/2022";"0100";"7,3";"7,8";"7,2";"100,0";"100,0";"100,0";"7,3";"7,7";"7,2";"905,9";"905,9";"905,5";"1,3";"191,0";"3,5";"";"0,2"
"02/06/2022";"0200";"6,5";"7,3";"6,5";"100,0";"100,0";"100,0";"6,5";"7,3";"6,5";"905,6";"905,9";"905,5";"2,0";"178,0";"4,1";"";"0,0"
"02/06/2022";"0300";"6,3";"6,5";"6,2";"100,0";"100,0";"100,0";"6,3";"6,5";"6,2";"904,9";"905,6";"904,8";"2,3";"169,0";"6,0";"";"0,0"
"02/06/2022";"0400";"6,3";"6,3";"6,2";"100,0";"100,0";"100,0";"6,3";"6,3";"6,2";"905,3";"905,3";"904,5";"2,5";"167,0";"5,5";"";"0,0"
"02/06/2022";"0500";"6,3";"6,4";"6,2";"100,0";"100,0";"100,0";"6,3";"6,4";"6,2";"904,9";"905,4";"904,6";"2,6";"165,0";"5,5";"";"0,0"
"02/06/2022";"0600";"6,0";"6,3";"6,0";"100,0";"100,0";"100,0";"6,0";"6,3";"6,0";"904,0";"905,2";"903,8";"3,0";"163,0";"5,6";"";"0,2"
"02/06/2022";"0700";"6,3";"6,3";"6,0";"100,0";"100,0";"100,0";"6,3";"6,3";"6,0";"904,7";"904,8";"903,9";"2,0";"142,0";"5,4";"";"0,0"
"02/06/2022";"0800";"6,2";"6,3";"6,2";"100,0";"100,0";"100,0";"6,2";"6,3";"6,2";"905,0";"905,1";"904,5";"2,0";"169,0";"4,0";"";"0,0"
"02/06/2022";"0900";"6,2";"6,3";"6,1";"100,0";"100,0";"100,0";"6,2";"6,3";"6,1";"905,8";"905,8";"904,8";"2,3";"160,0";"5,3";"";"0,0"
"02/06/2022";"1000";"6,2";"6,3";"6,1";"100,0";"100,0";"100,0";"6,2";"6,3";"6,1";"906,0";"906,0";"905,6";"2,3";"167,0";"5,2";"6,70";"0,0"
"02/06/2022";"1100";"6,4";"6,4";"6,1";"100,0";"100,0";"100,0";"6,4";"6,4";"6,1";"906,6";"906,9";"905,8";"2,1";"156,0";"5,5";"93,20";"0,0"
"02/06/2022";"1200";"6,9";"6,9";"6,3";"100,0";"100,0";"100,0";"6,9";"6,9";"6,3";"906,4";"906,6";"906,0";"3,2";"136,0";"5,4";"343,40";"0,0"
"02/06/2022";"1300";"8,0";"8,0";"6,8";"100,0";"100,0";"100,0";"8,0";"8,0";"6,8";"906,5";"906,6";"906,2";"2,7";"114,0";"5,4";"454,00";"0,0"
"02/06/2022";"1400";"9,5";"9,5";"7,8";"99,0";"100,0";"99,0";"9,4";"9,5";"7,8";"906,1";"906,5";"906,0";"3,1";"131,0";"6,0";"839,20";"0,0"
"02/06/2022";"1500";"8,3";"9,7";"8,2";"99,0";"99,0";"95,0";"8,1";"9,3";"8,0";"905,7";"906,1";"905,7";"2,3";"171,0";"5,4";"474,10";"0,0"
"02/06/2022";"1600";"8,1";"8,5";"7,9";"100,0";"100,0";"99,0";"8,1";"8,4";"7,8";"905,5";"905,9";"905,4";"3,7";"166,0";"7,3";"670,80";"1,0"
"02/06/2022";"1700";"9,0";"9,0";"8,0";"99,0";"100,0";"98,0";"8,9";"9,0";"8,0";"905,1";"905,6";"905,1";"2,9";"158,0";"6,2";"786,10";"0,0"
"02/06/2022";"1800";"7,4";"9,1";"7,4";"100,0";"100,0";"98,0";"7,4";"8,6";"7,3";"905,8";"905,8";"905,0";"2,6";"176,0";"7,0";"402,50";"0,0"
"02/06/2022";"1900";"6,9";"7,4";"6,9";"100,0";"100,0";"100,0";"6,9";"7,4";"6,9";"906,0";"906,0";"905,8";"3,8";"162,0";"6,8";"202,90";"0,4"
"02/06/2022";"2000";"6,7";"7,0";"6,7";"100,0";"100,0";"100,0";"6,7";"7,0";"6,7";"906,1";"906,2";"906,0";"3,3";"154,0";"6,8";"51,70";"0,0"
"02/06/2022";"2100";"6,5";"6,8";"6,5";"100,0";"100,0";"100,0";"6,5";"6,8";"6,5";"906,8";"906,9";"906,1";"4,3";"153,0";"6,9";"";"0,0"
"02/06/2022";"2200";"6,2";"6,5";"6,2";"100,0";"100,0";"100,0";"6,2";"6,5";"6,2";"907,3";"907,3";"906,8";"3,7";"164,0";"7,1";"";"0,2"
"02/06/2022";"2300";"5,8";"6,2";"5,8";"100,0";"100,0";"100,0";"5,8";"6,2";"5,8";"907,8";"907,8";"907,3";"3,7";"161,0";"6,8";"";"0,0"
"03/06/2022";"0000";"5,3";"5,8";"5,3";"100,0";"100,0";"100,0";"5,3";"5,8";"5,3";"908,4";"908,4";"907,8";"3,9";"163,0";"7,5";"";"0,2"
"03/06/2022";"0100";"4,9";"5,3";"4,9";"100,0";"100,0";"100,0";"4,9";"5,3";"4,9";"909,2";"909,2";"908,4";"4,6";"156,0";"8,3";"";"0,4"
"03/06/2022";"0200";"4,7";"5,0";"4,7";"100,0";"100,0";"99,0";"4,7";"4,9";"4,6";"909,6";"909,6";"909,2";"3,9";"157,0";"8,3";"";"0,4"
"03/06/2022";"0300";"4,8";"4,9";"4,7";"100,0";"100,0";"100,0";"4,8";"4,9";"4,7";"909,9";"909,9";"909,6";"3,4";"160,0";"6,9";"";"0,2"
"03/06/2022";"0400";"4,8";"4,9";"4,8";"100,0";"100,0";"100,0";"4,8";"4,9";"4,8";"909,9";"909,9";"909,7";"3,4";"156,0";"6,8";"";"0,0"
"03/06/2022";"0500";"4,5";"4,8";"4,5";"100,0";"100,0";"100,0";"4,5";"4,8";"4,5";"909,9";"910,0";"909,9";"2,8";"152,0";"6,8";"";"0,2"
"03/06/2022";"0600";"4,5";"4,5";"4,5";"100,0";"100,0";"100,0";"4,4";"4,5";"4,4";"909,8";"910,0";"909,7";"2,7";"139,0";"4,7";"";"0,0"
"03/06/2022";"0700";"4,6";"4,7";"4,5";"100,0";"100,0";"100,0";"4,6";"4,7";"4,4";"910,1";"910,1";"909,8";"1,8";"149,0";"4,7";"";"0,0"
"03/06/2022";"0800";"4,7";"4,7";"4,6";"100,0";"100,0";"100,0";"4,7";"4,7";"4,6";"910,3";"910,3";"909,9";"2,2";"157,0";"4,0";"";"0,0"
"03/06/2022";"0900";"4,5";"4,7";"4,5";"100,0";"100,0";"100,0";"4,5";"4,7";"4,5";"910,5";"910,6";"910,3";"2,6";"145,0";"5,2";"0,10";"0,0"
"03/06/2022";"1000";"4,4";"4,5";"4,3";"100,0";"100,0";"100,0";"4,4";"4,5";"4,3";"910,7";"910,8";"910,5";"2,6";"137,0";"5,0";"10,70";"0,0"
"03/06/2022";"1100";"4,5";"4,5";"4,1";"100,0";"100,0";"100,0";"4,5";"4,5";"4,1";"910,8";"910,8";"910,6";"2,6";"139,0";"5,2";"133,80";"0,0"
"03/06/2022";"1200";"4,7";"4,9";"4,2";"100,0";"100,0";"100,0";"4,7";"4,9";"4,2";"911,6";"911,7";"910,8";"2,2";"144,0";"5,4";"325,50";"0,0"
"03/06/2022";"1300";"5,3";"5,6";"4,7";"100,0";"100,0";"100,0";"5,3";"5,6";"4,7";"912,0";"912,2";"911,6";"1,5";"132,0";"4,3";"611,50";"0,0"
"03/06/2022";"1400";"6,5";"6,6";"5,3";"100,0";"100,0";"100,0";"6,5";"6,6";"5,4";"912,2";"912,2";"912,0";"1,7";"134,0";"3,5";"849,00";"0,0"
"03/06/2022";"1500";"8,7";"8,9";"6,3";"94,0";"100,0";"94,0";"7,8";"8,6";"6,3";"911,7";"912,2";"911,7";"1,2";"136,0";"3,4";"1570,30";"0,0"
"03/06/2022";"1600";"10,6";"11,0";"8,7";"82,0";"94,0";"82,0";"7,6";"8,8";"6,9";"910,9";"911,7";"910,9";"1,7";"177,0";"4,0";"1746,60";"0,0"
"03/06/2022";"1700";"10,5";"11,4";"10,1";"80,0";"85,0";"78,0";"7,2";"8,7";"7,0";"910,4";"911,0";"910,2";"2,0";"160,0";"3,4";"1187,50";"0,0"
"03/06/2022";"1800";"12,0";"12,3";"10,4";"56,0";"82,0";"55,0";"3,4";"7,7";"3,2";"910,4";"910,4";"910,3";"1,5";"186,0";"3,7";"1317,30";"0,0"
"03/06/2022";"1900";"9,9";"12,0";"9,9";"64,0";"64,0";"56,0";"3,4";"4,6";"3,2";"910,4";"910,4";"910,2";"2,8";"153,0";"5,7";"839,80";"0,0"
